sender,receiver,ligand,receptor,compositional_observed_score,compositional_null_mean,compositional_null_std,compositional_empirical_pvalue,compositional_z_score,compositional_significant,n_qualifying_edges,edge_observed_score,edge_null_mean,edge_null_std,edge_empirical_pvalue,edge_z_score,edge_significant,verdict_flip,filtered_observed_score,filtered_null_mean,filtered_null_std,filtered_empirical_pvalue,filtered_z_score,n_qualifying_edges_filtered
fibroblast,immune,CXCL12,CXCR4,3.580391507102324,1.4843947768211363,0.0675391364864365,0.0,31.033810014762512,True,972,16.504263918634425,2.358666508647544,0.479427602780605,0.0,29.50517935960431,True,False,16.25496684417086,2.528923932414919,0.6770164811838203,0.0,20.27431132511693,972
endothelial,immune,CXCL12,CXCR4,3.261771164536712,1.4722005579024553,0.1666981000793325,0.0,10.735398938455749,True,19,16.694364610787442,2.143258215189282,2.0149927431157706,0.0,7.22141875960202,True,False,15.508791545264671,2.272484255506644,2.9027731551087452,0.002,4.55988345712194,19
fibroblast,endothelial,CXCL12,CXCR4,2.998609111201575,1.4775583785772324,0.1758228414152166,0.0,8.651041698457632,True,128,11.29286938596982,2.3097460610975022,1.3450411296137978,0.0,6.678697868110282,True,False,13.50310787575463,2.469743656401736,1.8239359043049304,0.0,6.049206111525894,128
immune,immune,CXCL12,CXCR4,2.8019331462495547,1.4860654205083847,0.0842887014163855,0.0,15.611436688777465,True,827,7.896593786989074,2.4192287820192204,1.0035805281177808,0.0,5.457823115841709,True,False,6.490883134196713,2.627593708300555,1.4467083507502339,0.018,2.6703996170981754,827
fibroblast,fibroblast,CXCL12,CXCR4,2.7648991722405727,1.483275594830513,0.0402162404113514,0.0,31.868309028914275,True,4702,9.14739803929066,2.344855302123002,0.2977502463735876,0.0,22.846472236441063,True,False,9.016727350489083,2.528690755358145,0.42259425958590224,0.0,15.352874413127449,4702
fibroblast,epithelial,CXCL12,CXCR4,2.680072842858178,1.4849150581359862,0.027851358481487,0.0,42.912010396786165,True,2586,3.0379412023976715,2.353000059225643,0.1474847358895523,0.0,4.644149369362292,True,False,2.500111550141535,2.530355538370092,0.19350354179014595,0.544,-0.15629681993809058,2586
endothelial,endothelial,CXCL12,CXCR4,2.679988768635964,1.4653641596585512,0.2433157585200932,0.0,4.991968528323282,True,27,6.632521458962848,1.3642181778449058,4.575857453440211,0.084,1.1513259175407962,False,True,10.756294482132391,1.4639088160515101,5.527806140681395,0.062,1.681025967552371,27
endothelial,fibroblast,CXCL12,CXCR4,2.4462788296749616,1.4710813759118315,0.1572546100707623,0.0,6.2013918277137,True,121,8.732020054358596,2.23981674413347,1.2544725925137488,0.0,5.17524523769456,True,False,10.639540788114743,2.4409266240684455,1.841617348244428,0.0,4.451855414949175,121
endothelial,epithelial,CXCL12,CXCR4,2.361452500292567,1.4727208392173052,0.1567745709165976,0.0,5.668850859416846,True,127,2.2193930862688216,2.3057292094926947,0.8969228575560688,0.506,-0.0962581369139385,False,True,2.009348696640462,2.4722836390490106,1.2032506970303538,0.632,-0.38473689942676215,127
immune,endothelial,CXCL12,CXCR4,2.2201507503488065,1.4792290222644806,0.1819468014967462,0.0,4.07218880458075,True,17,6.253537199135642,2.514530397470055,2.455729868354413,0.076,1.5225643707184693,False,True,0.0,2.8752246746575874,3.563469860063048,1.0,-0.8068609494586034,17
immune,fibroblast,CXCL12,CXCR4,1.986440811387804,1.4849462385177612,0.0613875209217034,0.0,8.169324405682927,True,962,5.80336943195573,2.3334452764379483,0.4628408867655963,0.0,7.497013022695873,True,False,6.1303625754100155,2.481751536072711,0.6659036294504999,0.0,5.4791877953092385,962
epithelial,immune,CXCL12,CXCR4,1.9472474762969456,1.4808171236515044,0.0647179972159646,0.0,7.207119699470278,True,334,1.75364265760699,2.3249735365287405,0.3551519523718196,0.944,-1.6086941803535584,False,True,2.038995330175424,2.500013976442342,0.46169986948855546,0.852,-0.9985245323495722,334
immune,epithelial,CXCL12,CXCR4,1.9016144820054093,1.4865857018232345,0.053764049948427,0.0,7.719447857449166,True,360,2.611349435813482,2.358490061304433,0.299095982709464,0.192,0.8454121390011169,False,True,2.6832428189381625,2.5356596949337713,0.42325013549869955,0.348,0.3486900809387802,360
epithelial,endothelial,CXCL12,CXCR4,1.3654650803961976,1.4739807254076005,0.1737232611250478,0.73,-0.6246466035040187,False,117,1.1316041951739195,2.3165552682324475,0.9627274209583552,0.914,-1.2308271762727587,False,False,0.6586543984573507,2.4786280675352383,1.3354077505193063,0.93,-1.3628598968143968,117
