source_index,target_index,source_cell_type,target_cell_type,distance_um,edge_cost,distance_decay_attention
6568,854,epithelial,epithelial,15.6048,0.5227195024490356,0.65790975
4303,4304,epithelial,epithelial,12.942904,0.43712204694747925,0.70409924
2937,2936,epithelial,epithelial,14.667666,0.49198490381240845,0.6742189
1612,1582,fibroblast,epithelial,13.427375,0.08951583504676819,1.0
3078,2702,epithelial,epithelial,11.128284,0.3738701641559601,0.7410541
6308,1820,epithelial,epithelial,12.548226,0.42117953300476074,0.71353436
3112,5711,epithelial,epithelial,12.349911,0.4200170636177063,0.71342045
925,873,epithelial,epithelial,12.360328,0.4193911552429199,0.7139167
1737,1747,epithelial,epithelial,12.411435,0.4185101389884949,0.71478945
1823,1826,epithelial,epithelial,12.450506,0.4181198179721832,0.7152548
1912,6216,epithelial,epithelial,12.380208,0.41809597611427307,0.71493673
2219,2234,epithelial,epithelial,12.359148,0.4178929924964905,0.71498144
2816,5511,epithelial,epithelial,13.499223,0.4591652452945709,0.6913076
6308,6220,epithelial,epithelial,14.816432,0.5005373954772949,0.6691405
468,482,epithelial,epithelial,12.4663725,0.4206969439983368,0.71348935
567,564,epithelial,epithelial,12.723859,0.42764854431152344,0.70976394
2623,7012,epithelial,immune,12.148517,0.41020727157592773,0.7194868
4308,4303,fibroblast,epithelial,11.734586,0.07823057472705841,1.0
372,357,epithelial,epithelial,12.13272,0.408416211605072,0.7207006
4225,4278,epithelial,epithelial,8.774006,0.29709893465042114,0.7877255
4308,4306,fibroblast,epithelial,11.33271,0.07555139809846878,1.0
1612,1614,fibroblast,epithelial,14.918819,0.09945879876613617,1.0
1994,4306,epithelial,epithelial,11.97689,0.40620970726013184,0.72154266
5090,5083,epithelial,epithelial,12.098694,0.4057479500770569,0.72246236
679,685,epithelial,epithelial,13.868246,0.4711650013923645,0.6847441
1628,1604,epithelial,epithelial,12.397814,0.41668447852134705,0.7160306
2025,2169,epithelial,epithelial,13.520132,0.45510005950927734,0.69422036
1716,6202,epithelial,epithelial,11.929718,0.40170180797576904,0.72457474
4722,567,epithelial,epithelial,9.41994,0.31621667742729187,0.7761441
2649,2652,epithelial,epithelial,11.829163,0.39837202429771423,0.72650427
1877,6314,epithelial,epithelial,12.448657,0.42535269260406494,0.71009135
1988,4509,epithelial,epithelial,11.783167,0.3959141671657562,0.7280688
1000,997,epithelial,epithelial,13.726853,0.46125051379203796,0.6909152
1686,871,epithelial,epithelial,11.655713,0.3923856019973755,0.73002183
1587,1592,epithelial,epithelial,11.660285,0.39208102226257324,0.73026645
1784,5996,immune,immune,22.62345,0.7813069820404053,0.5323341
940,6235,epithelial,epithelial,11.576986,0.39035746455192566,0.7311201
1603,1604,epithelial,epithelial,11.622217,0.39029592275619507,0.7313856
2334,2331,epithelial,epithelial,17.785181,0.6036875247955322,0.61562353
1462,1463,epithelial,epithelial,11.601684,0.3899262547492981,0.7315559
1992,1997,epithelial,epithelial,13.374229,0.45569896697998047,0.6931302
1599,1508,epithelial,epithelial,13.496681,0.4547768235206604,0.69433624
5944,5954,immune,epithelial,11.534687,0.38715457916259766,0.7332587
2034,4380,epithelial,epithelial,12.691986,0.4271486699581146,0.709968
1298,1296,epithelial,epithelial,11.419268,0.3840809762477875,0.73495024
6600,6601,epithelial,epithelial,12.220313,0.4130813181400299,0.7177654
4184,4235,epithelial,epithelial,11.523409,0.3949005901813507,0.72754616
1826,1825,epithelial,epithelial,12.071083,0.40609151124954224,0.72208124
897,898,epithelial,epithelial,14.103841,0.474587619304657,0.68347716
957,958,epithelial,epithelial,12.1474495,0.40937936305999756,0.7200776
2250,2219,epithelial,epithelial,11.267029,0.37922123074531555,0.7377814
73,4684,epithelial,epithelial,12.552606,0.4241335988044739,0.7114504
1508,1504,epithelial,epithelial,13.27735,0.4484885334968567,0.69769526
3678,3620,fibroblast,fibroblast,22.540611,0.7520121932029724,0.54785675
5511,3270,epithelial,epithelial,10.945227,0.3755142390727997,0.73893446
6923,3153,epithelial,epithelial,12.615485,0.42469173669815063,0.7113516
2297,4184,epithelial,epithelial,11.002698,0.3730533719062805,0.741039
4280,2290,epithelial,epithelial,11.342742,0.38176482915878296,0.7362787
2733,2730,epithelial,epithelial,16.963497,0.5757110714912415,0.62963116
579,584,epithelial,epithelial,9.977082,0.33547598123550415,0.7641722
5038,5524,epithelial,epithelial,13.558341,0.4577662944793701,0.6925483
1549,1435,epithelial,epithelial,12.267434,0.41231971979141235,0.7185379
757,4639,epithelial,epithelial,9.020714,0.30225542187690735,0.7849641
1887,1877,immune,epithelial,10.866891,0.36852753162384033,0.74372673
3594,4639,fibroblast,epithelial,14.461521,0.09641014039516449,1.0
2111,2112,epithelial,epithelial,12.924845,0.43492236733436584,0.70556474
1628,1602,epithelial,epithelial,13.166644,0.44303953647613525,0.70098984
5681,5589,epithelial,epithelial,10.936162,0.36755508184432983,0.7447942
3148,6155,epithelial,epithelial,13.885888,0.4685789942741394,0.68659794
2995,3002,epithelial,epithelial,10.871074,0.36713138222694397,0.74478656
5537,2963,epithelial,epithelial,12.3616905,0.41630738973617554,0.7161282
952,940,epithelial,epithelial,10.859631,0.36639830470085144,0.7452759
6781,6783,epithelial,epithelial,11.898698,0.4000445306301117,0.72562647
6909,6908,immune,epithelial,14.609259,0.5021191835403442,0.6671608
5030,5027,epithelial,epithelial,10.887726,0.36603718996047974,0.74568474
6759,6755,fibroblast,fibroblast,21.928267,0.7312948107719421,0.5570466
763,6543,epithelial,epithelial,10.838611,0.36492881178855896,0.7462673
1806,1804,epithelial,epithelial,12.276215,0.4151008427143097,0.71658427
1743,1746,epithelial,epithelial,12.85001,0.4317161440849304,0.7074775
4067,4065,fibroblast,fibroblast,21.767859,0.7258808016777039,0.559472
1651,1653,epithelial,epithelial,10.978253,0.36990484595298767,0.7432547
2027,2029,epithelial,epithelial,10.845956,0.3637218475341797,0.74720514
2882,2880,epithelial,epithelial,9.938207,0.3338526487350464,0.7652154
1825,1755,epithelial,epithelial,10.717257,0.3617868423461914,0.74801034
1987,1984,epithelial,epithelial,10.689928,0.35968971252441406,0.7494441
2169,2027,epithelial,epithelial,10.748544,0.3601011633872986,0.74942863
5581,3078,epithelial,epithelial,10.661598,0.36009517312049866,0.7489988
3171,5822,epithelial,epithelial,13.856093,0.4692825675010681,0.6859788
2120,4781,epithelial,epithelial,14.178716,0.4791206121444702,0.6807257
718,156,epithelial,epithelial,15.029044,0.507198691368103,0.66564083
1886,1887,epithelial,immune,10.8571205,0.36583226919174194,0.7456854
5041,5042,epithelial,epithelial,7.1678534,0.2414897084236145,0.8239017
5194,5187,epithelial,epithelial,11.203964,0.37616613507270813,0.73972774
352,4624,epithelial,epithelial,10.497335,0.35607847571372986,0.7511903
3203,3204,epithelial,epithelial,7.665742,0.2578047811985016,0.8132637
1437,1443,epithelial,epithelial,10.855238,0.36511507630348206,0.74621105
1653,1005,epithelial,epithelial,10.567694,0.3553827106952667,0.75206584
957,6600,epithelial,epithelial,10.536986,0.3549484610557556,0.75223845
2936,4992,epithelial,epithelial,10.584224,0.3547007441520691,0.7526618
2881,2834,epithelial,immune,11.8972435,0.4008045196533203,0.7250682
6926,3151,epithelial,epithelial,11.490075,0.3860703706741333,0.7338359
2271,4238,epithelial,epithelial,11.777834,0.39819490909576416,0.72638434
1461,1467,epithelial,epithelial,12.093967,0.40811824798583984,0.72072923
4531,4542,epithelial,epithelial,13.732792,0.46653950214385986,0.6872978
