cell_index,cell_id,cell_type,x_centroid,y_centroid,node_prize
2,aabhbgmg-1,epithelial,10.92450714111328,344.447509765625,0.3448711633682251
7,aahbbjnj-1,epithelial,7.01553201675415,306.0466613769531,0.4742172360420227
9,aaknhhcb-1,epithelial,18.019502639770508,317.5672912597656,0.3638850450515747
13,aanbbhpb-1,immune,118.65754699707033,87.02420806884766,0.9356197714805603
14,aanjladf-1,immune,127.557861328125,128.6939239501953,0.8909770250320435
15,aanodife-1,fibroblast,195.5703125,259.40087890625,1.300898790359497
16,aaoaegnp-1,fibroblast,185.530029296875,144.04371643066406,2.2876904010772705
17,aaomlcbp-1,immune,146.58416748046875,251.46104431152344,2.6140449047088623
18,aapedleb-1,immune,132.43072509765625,92.8949203491211,2.219346523284912
19,aapheahe-1,immune,123.89612579345705,77.43526458740234,0.5796582102775574
20,abaeoegb-1,fibroblast,185.4685821533203,22.797199249267575,2.4735164642333984
22,abapenil-1,fibroblast,35.328914642333984,293.4965515136719,0.0
26,abebiilp-1,fibroblast,52.74637222290039,304.8622741699219,0.7872135043144226
27,abedadaj-1,fibroblast,44.55000305175781,317.1457824707031,1.7449584007263184
28,abenbieo-1,epithelial,43.4619026184082,308.1832580566406,0.0
29,abfgiado-1,epithelial,45.32152938842773,296.2222595214844,0.41514474153518677
31,abfpgcfp-1,epithelial,50.42747497558594,339.93096923828125,0.33431124687194824
32,abgemnmb-1,fibroblast,50.6956787109375,331.6351013183594,0.0
33,abgfjked-1,epithelial,31.141529083251957,313.05059814453125,0.4851425290107727
34,abjajjoh-1,epithelial,31.680667877197266,332.6221008300781,0.0
37,ablhelcb-1,fibroblast,23.79957389831543,258.0613098144531,0.0
38,abmbnoib-1,fibroblast,218.2377166748047,258.6706848144531,4.863428831100464
39,abmfkfom-1,epithelial,34.905452728271484,274.7523498535156,0.9571181535720825
40,abmgagbc-1,epithelial,26.227201461791992,269.9343566894531,0.0
41,abncjoho-1,fibroblast,38.012672424316406,266.9723815917969,1.6340200901031494
43,abnooaip-1,fibroblast,30.24398231506348,278.4622802734375,0.0
45,acahkhjb-1,epithelial,13.449274063110352,259.2438049316406,0.0
49,acbopfmf-1,epithelial,398.279296875,183.31243896484372,0.3194962441921234
50,accekdkd-1,epithelial,382.9260864257813,192.79417419433597,1.7113384008407593
51,accgffdb-1,fibroblast,389.2398681640625,188.34169006347656,1.7789908647537231
52,acdeiegn-1,fibroblast,397.7259521484375,227.70877075195312,1.164754033088684
53,acdkoekd-1,epithelial,405.2297058105469,549.4761962890625,0.293637752532959
57,acfnmnci-1,epithelial,397.552490234375,198.38755798339844,0.0
58,acglcook-1,fibroblast,384.3402099609375,208.68771362304688,0.0
59,acibigfc-1,epithelial,390.50103759765625,202.3369903564453,0.0
60,aciddole-1,epithelial,381.4129333496094,118.04293823242188,0.0
67,acndgokg-1,immune,307.2812194824219,200.4723052978516,1.9102188348770142
68,acoealhj-1,fibroblast,313.328857421875,125.17855834960938,0.8392208218574524
69,acolnfga-1,immune,316.09063720703125,117.7569351196289,0.6395735740661621
73,adaoobpe-1,epithelial,287.3749389648437,738.3243408203125,0.0
78,addjokdl-1,immune,295.0857238769531,262.17401123046875,2.5178771018981934
80,adgaanaa-1,fibroblast,311.6439819335937,39.30001449584961,0.0
83,adhllcgp-1,epithelial,295.7092590332031,70.36852264404297,2.337937831878662
84,adhlnbpn-1,fibroblast,300.98162841796875,87.1112289428711,0.0
85,adhmkepc-1,epithelial,296.8763732910156,78.76602172851562,0.6199804544448853
88,adipajcf-1,epithelial,307.80914306640625,78.2564697265625,0.4217839241027832
90,adknopap-1,fibroblast,261.681396484375,107.97257995605467,2.534468412399292
92,adlilcoa-1,immune,216.1705474853516,114.43993377685548,1.3276740312576294
93,adnleldj-1,epithelial,274.0946655273437,64.16613006591797,0.0
95,adopcmef-1,fibroblast,268.7239990234375,60.21624374389648,0.0
101,aecilekk-1,fibroblast,396.4025573730469,11.809349060058594,0.0
102,aecnmfmn-1,epithelial,393.5552368164063,21.53330993652344,0.0
103,aednddcg-1,epithelial,408.0549926757813,22.4679012298584,0.4300645589828491
107,aefepkek-1,epithelial,404.1271362304688,50.4224739074707,0.0
108,aeggaodm-1,fibroblast,397.5359191894531,41.29441833496094,0.0
111,aeigkmfj-1,epithelial,388.3986206054688,92.75625610351562,0.49145373702049255
112,aeikagih-1,immune,391.8497619628906,67.9421157836914,0.9221618175506592
114,aekmaaii-1,epithelial,391.0991516113281,78.736328125,0.5290737152099609
115,aekpcjln-1,immune,384.27056884765625,73.75634765625,1.1063830852508545
116,aembipfp-1,epithelial,398.5355224609375,53.53693771362305,0.4462325870990753
120,aengcien-1,epithelial,385.652587890625,42.87506103515625,0.381680428981781
121,aeoandlh-1,fibroblast,380.628173828125,50.66074752807617,0.8081122636795044
122,aeofjdgf-1,epithelial,323.8898010253906,34.13425064086914,0.46555960178375244
123,aeohdikm-1,epithelial,324.2204284667969,73.52792358398438,0.5650297403335571
124,aepceecc-1,epithelial,338.78692626953125,52.47928237915039,1.2138094902038574
131,afcbcoce-1,epithelial,356.99041748046875,27.25421524047852,0.6056002974510193
133,afcondop-1,epithelial,348.7797241210937,97.30525207519533,0.5877222418785095
135,afdbfnfb-1,epithelial,344.340087890625,33.07240676879883,0.6021637916564941
136,afdckand-1,epithelial,351.2881774902344,29.981189727783203,0.0
138,afepahdl-1,epithelial,328.1331481933594,27.58946990966797,0.0
139,affhmaia-1,epithelial,342.0360107421875,21.33431053161621,0.0
140,afhimmlk-1,epithelial,335.1919250488281,23.85285186767578,0.0
141,afhnkije-1,epithelial,24.639986038208008,326.5047912597656,0.4300645589828491
143,afijnhmc-1,epithelial,20.153324127197266,349.48114013671875,1.1652605533599854
144,afikelao-1,epithelial,25.50542640686035,340.87713623046875,0.7197932004928589
147,afjphedc-1,epithelial,40.25341033935547,359.51593017578125,0.0
149,afldnbnk-1,epithelial,30.28675079345703,346.05963134765625,0.0
150,afljknfn-1,fibroblast,39.56652069091797,334.9407043457031,0.0
152,afnlaeji-1,epithelial,180.33059692382807,651.7203979492188,0.0
153,afoalmmg-1,fibroblast,166.54981994628906,648.5108032226562,2.9624675512313843
156,afpkfbfg-1,epithelial,248.9827423095703,732.1238403320312,0.0
159,agadchnf-1,fibroblast,174.74362182617188,657.4398193359375,2.745600461959839
160,agadgpom-1,epithelial,221.56114196777344,729.7662353515625,0.0
161,agaggdbh-1,epithelial,184.99888610839844,659.0671997070312,0.38499975204467773
162,agbpanje-1,epithelial,178.4359588623047,625.3631591796875,0.5842684507369995
163,agdigggc-1,epithelial,175.1435089111328,634.4992065429688,0.6893053650856018
164,agedajej-1,fibroblast,187.13442993164065,633.6390991210938,0.5501070618629456
