sender,receiver,ligand,receptor,compositional_observed_score,compositional_null_mean,compositional_null_std,compositional_empirical_pvalue,compositional_z_score,compositional_significant,n_qualifying_edges,edge_observed_score,edge_null_mean,edge_null_std,edge_empirical_pvalue,edge_z_score,edge_significant,verdict_flip,soft_observed_score,soft_null_mean,soft_null_std,soft_empirical_pvalue,soft_z_score,filtered_z_score
fibroblast,immune,CXCL12,CXCR4,3.580391507102324,1.4843947768211363,0.0675391364864365,0.0,31.033810014762512,True,972,16.504263918634425,2.358666508647544,0.479427602780605,0.0,29.50517935960431,True,False,16.496732416038434,2.3697422013033473,0.48538791999194625,0.0,29.10453604813545,20.27431132511693
endothelial,immune,CXCL12,CXCR4,3.261771164536712,1.4722005579024553,0.1666981000793325,0.0,10.735398938455749,True,19,16.694364610787442,2.143258215189282,2.0149927431157706,0.0,7.22141875960202,True,False,16.649134934218452,2.153961978065519,2.0239119843152933,0.0,7.1619581624527875,4.55988345712194
fibroblast,endothelial,CXCL12,CXCR4,2.998609111201575,1.4775583785772324,0.1758228414152166,0.0,8.651041698457632,True,128,11.29286938596982,2.3097460610975022,1.3450411296137978,0.0,6.678697868110282,True,False,11.4444256724736,2.3198515616849256,1.3547026466632497,0.0,6.7354811281009095,6.049206111525894
immune,immune,CXCL12,CXCR4,2.8019331462495547,1.4860654205083847,0.0842887014163855,0.0,15.611436688777465,True,827,7.896593786989074,2.4192287820192204,1.0035805281177808,0.0,5.457823115841709,True,False,7.859224858915102,2.4326438817909266,1.0125229953548065,0.0,5.359464428975859,2.6703996170981754
fibroblast,fibroblast,CXCL12,CXCR4,2.7648991722405727,1.483275594830513,0.0402162404113514,0.0,31.868309028914275,True,4702,9.14739803929066,2.344855302123002,0.2977502463735876,0.0,22.846472236441063,True,False,9.153102766473383,2.3556701704837577,0.3010499989628401,0.0,22.579081944553206,15.352874413127449
fibroblast,epithelial,CXCL12,CXCR4,2.680072842858178,1.4849150581359862,0.027851358481487,0.0,42.912010396786165,True,2586,3.0379412023976715,2.353000059225643,0.1474847358895523,0.0,4.644149369362292,True,False,2.9862473396630707,2.36399723392694,0.14795866465199223,0.0,4.2055671913483454,-0.1562968199380905
endothelial,endothelial,CXCL12,CXCR4,2.679988768635964,1.4653641596585512,0.2433157585200932,0.0,4.991968528323282,True,27,6.632521458962848,1.3642181778449058,4.575857453440211,0.084,1.1513259175407962,False,True,6.729812921608242,1.366318017972494,4.573950635396577,0.082,1.1726175753033055,1.681025967552371
endothelial,fibroblast,CXCL12,CXCR4,2.4462788296749616,1.4710813759118315,0.1572546100707623,0.0,6.2013918277137,True,121,8.732020054358596,2.23981674413347,1.2544725925137488,0.0,5.17524523769456,True,False,8.864969172631419,2.252449843306885,1.2644591501572706,0.0,5.229523886558204,4.451855414949175
endothelial,epithelial,CXCL12,CXCR4,2.361452500292567,1.4727208392173052,0.1567745709165976,0.0,5.668850859416846,True,127,2.2193930862688216,2.3057292094926947,0.8969228575560688,0.506,-0.0962581369139385,False,True,2.2243856868423393,2.3168943684895713,0.9007403170609712,0.51,-0.10270294322905289,-0.3847368994267621
immune,endothelial,CXCL12,CXCR4,2.2201507503488065,1.4792290222644806,0.1819468014967462,0.0,4.07218880458075,True,17,6.253537199135642,2.514530397470055,2.455729868354413,0.076,1.5225643707184693,False,True,6.164576979941519,2.5331632061249603,2.4743624605082797,0.086,1.4676159341144384,-0.8068609494586034
