radius_um,total_edges,mean_edges_per_cell,fib_imm_edges,epi_imm_edges,cxcl12_obs_score,cxcl12_null_mean,cxcl12_null_std,cxcl12_z_score,cxcl12_pvalue,cxcl12_diff_kernel_score,cd274_obs_score,cd274_null_mean,cd274_null_std,cd274_z_score,cd274_pvalue,runtime_sec
15.0,40618,5.670529107915677,560,325,14.949644088745117,1.5251048585176468,0.37734295275304264,35.57649382950938,0.0,14.369308326607555,0.0,0.0,0.0,0.0,1.0,4.06
30.0,168818,23.568058076225046,2578,1418,16.238157272338867,1.6327711706161498,0.26608923328343637,54.88905327546704,0.0,15.811058907354768,0.0,0.0,0.0,0.0,1.0,16.4
50.0,460858,64.33868490855787,7197,4391,16.379337310791016,1.6999730665683745,0.228488939450621,64.24540408615717,0.0,16.213423253749667,0.0,0.0,0.0,0.0,1.0,43.0
75.0,1006402,140.5000698031551,15941,11004,16.412555694580078,1.7397177591323854,0.2111992259414928,69.47391909245168,0.0,16.33915994570486,0.0,3.329966083401814e-05,0.00012167944825721036,-0.27366709260242644,1.0,99.12
100.0,1738006,242.6366047745358,27242,20793,16.32756805419922,1.7734631071090698,0.2016691127322349,72.16824009343605,0.0,16.325654912397322,0.0,6.31328719900921e-05,0.00015852464704086384,-0.39825272075084933,1.0,156.44
150.0,3704142,517.1215970961888,54683,53507,15.945211410522461,1.7816272788047791,0.18450626075276091,76.76478876072903,0.0,16.109965554538306,0.0,6.983376877906266e-05,0.0001496251630785484,-0.46672476301597865,1.0,324.42
200.0,6255114,873.2533854530225,83580,105507,15.474666595458984,1.7628783762454987,0.17184437314574583,79.79189523758308,0.0,15.803861023266077,0.0,6.845110432914225e-05,0.00013489280537389736,-0.5074481484717345,1.0,506.05
300.0,12729674,1777.1428172553399,139677,275438,14.698740005493164,1.7274850404262543,0.1549675177911035,83.7030569370814,0.0,15.252230554573085,0.0,9.363283164566383e-05,0.00018043884242562475,-0.5189172707326497,1.0,1007.55
