sender,receiver,ligand,receptor,compositional_observed_score,compositional_null_mean,compositional_null_std,compositional_empirical_pvalue,compositional_z_score,compositional_significant,n_qualifying_edges,edge_observed_score,edge_null_mean,edge_null_std,edge_empirical_pvalue,edge_z_score,edge_significant,verdict_flip
fibroblast,immune,CXCL12,CXCR4,4.310918092727661,1.487429010629654,0.05828780611124146,0.001996007984031936,48.440476155671696,True,1094,20.205817916711535,2.3461499248868867,0.4513235434576465,0.001996007984031936,39.5717623215476,True,False
fibroblast,epithelial,CXCL12,CXCR4,3.445902705192566,1.4844447193145751,0.04326413215687375,0.001996007984031936,45.33681569679555,True,919,6.635231250940054,2.3535909806406172,0.22964368219080594,0.001996007984031936,18.644711796346805,True,False
immune,immune,CXCL12,CXCR4,3.285086154937744,1.4889083318710328,0.05508642768024453,0.001996007984031936,32.606540280535725,True,3009,11.625852316904956,2.363852839778633,0.47628141878225977,0.001996007984031936,19.44648502309221,True,False
fibroblast,fibroblast,CXCL12,CXCR4,3.0844717025756836,1.4813895523548126,0.06243784752068932,0.001996007984031936,25.67484648937771,True,1791,5.595107309394814,2.335449916369221,0.5869714735667513,0.001996007984031936,5.553348910157727,True,False
immune,epithelial,CXCL12,CXCR4,2.420070767402649,1.4859240429401397,0.03381415690475867,0.001996007984031936,27.625906128419444,True,576,3.5362580912742487,2.3564256389201934,0.1886736327514624,0.001996007984031936,6.253298010688304,True,False
immune,fibroblast,CXCL12,CXCR4,2.0586397647857666,1.4828688766956328,0.05950093660908034,0.001996007984031936,9.676669324937421,True,1053,4.259436905171341,2.344563273568101,0.4400627718349365,0.001996007984031936,4.351364746485513,True,False
epithelial,immune,CXCL12,CXCR4,1.9281710386276245,1.4839299182891845,0.04289241634487565,0.001996007984031936,10.357101748862265,True,463,2.9220718518588056,2.3337871395815952,0.2241290932790158,0.007984031936127744,2.624758364345236,True,False
epithelial,epithelial,CXCL12,CXCR4,1.0631556510925293,1.480945629119873,0.009688926756914273,1.0,-43.120356723637926,False,33418,0.5532421470609976,2.330675679927284,0.05859235056346065,1.0,-30.33559015423302,False,False
epithelial,fibroblast,CXCL12,CXCR4,0.701724648475647,1.477890461206436,0.047839462464875755,1.0,-16.22438406996438,False,655,1.2721778649169344,2.339701399566342,0.2494788415877459,1.0,-4.279014315825022,False,False
immune,immune,CD274,PDCD1,0.08303910936228931,0.0185102141587995,0.007068291546758528,0.001996007984031936,9.12934826989166,True,3009,0.0,0.0,0.0,1.0,0.0,False,True
immune,epithelial,CD274,PDCD1,0.08230727422051132,0.018599993217736484,0.006677442623448577,0.001996007984031936,9.54067067219113,True,576,0.0,0.0,0.0,1.0,0.0,False,True
immune,fibroblast,CD274,PDCD1,0.08066179603338242,0.018726530021522195,0.006946274332748151,0.001996007984031936,8.91632881815032,True,1053,0.0,0.0,0.0,1.0,0.0,False,True
fibroblast,immune,CD274,PDCD1,0.038277921034023166,0.018101288464851678,0.007586004833757876,0.005988023952095809,2.6597178635300973,True,1094,0.0,0.0,0.0,1.0,0.0,False,True
fibroblast,epithelial,CD274,PDCD1,0.03754608589224517,0.018191067579435186,0.007324041765963994,0.011976047904191617,2.642669025012376,True,919,0.0,0.0,0.0,1.0,0.0,False,True
fibroblast,fibroblast,CD274,PDCD1,0.03590060770511627,0.018317604394163935,0.007812391652720667,0.017964071856287425,2.250655636911016,True,1791,0.0,0.0,0.0,1.0,0.0,False,True
epithelial,immune,CD274,PDCD1,0.00815644976682961,0.01793741698935628,0.0022973307567653828,1.0,-4.25753548709641,False,463,0.0,0.0,0.0,1.0,0.0,False,False
epithelial,epithelial,CD274,PDCD1,0.007424614625051618,0.018027196023613214,0.001159333381542909,1.0,-9.145411981884846,False,33418,0.0,0.0,0.0,1.0,0.0,False,False
epithelial,fibroblast,CD274,PDCD1,0.005779136437922716,0.01815373287908733,0.0026513365574509723,1.0,-4.66730502636063,False,655,0.0,0.0,0.0,1.0,0.0,False,False
